Questions,Option A,Option B,Option C,Réponse,Question
Quelle activité humaine contribue le moins aux émissions de GES ?,Industrie,Bâtiment,Utilisation des terres et foresterie,Utilisation des terres et foresterie,
Quel est le principal gaz à effet de serre émis par l'agriculture ?,CO2,CH4,N2O,CH4,
Quelle est la concentration atmosphérique préindustrielle de CO2 ?,280 ppm,350 ppm,400 ppm,280 ppm,
Quelle serait la température terrestre sans les gaz à effet de serre ?,-19°C,0°C,+14°C,-19°C,
Quelle est la principale cause des émissions de CO2 ?,Utilisation de combustibles fossiles,Agriculture,Changement d'affectation des terres,Utilisation de combustibles fossiles,
Quel gaz a le plus grand potentiel de réchauffement global sur 20 ans par rapport au CO2 ?,CH4 (Méthane),N2O (Protoxyde d'azote),CF4,CH4 (Méthane),
Quel pourcentage des émissions de GES en 2010 était produit par le secteur de l'énergie ?,35%,50%,25%,35%,
Quelle est la concentration atmosphérique mondiale de CO2 en 2022 ?,420 ppm,350 ppm,390 ppm,420 ppm,
Quel est l'effet principal des gaz à effet de serre sur la température de la Terre ?,Augmentation de la température,Diminution de la température,Aucun effet,Augmentation de la température,
Quel secteur est le plus grand producteur de méthane (CH4) ?,Industrie,Agriculture,Transport,Agriculture,
Quelle méthode n'est pas utilisée pour prévoir le climat futur ?,Modèles de circulation générale,Analyse de carottes de glace,Astrologie,Astrologie,
Quel est le forçage radiatif du CO2 exprimé par la formule donnée ?,633 ln(S/S*),280 ln(S/S*),420 ln(S/S*),633 ln(S/S*),
"Quelle est la part des émissions nettes de GES attribuables à l'AFAT (Agriculture, foresterie et autres affectations des terres) ?",24%,35%,31%,24%,
Quelle est la durée de vie du CH4 dans l'atmosphère ?,120 ans,10 ans,459 ans,459 ans,
Quel scénario d'émission prédit une augmentation linéaire des émissions jusqu'en 2100 ?,SSP1-26,SSP5-85,SSP2-45,SSP5-85,
Quel est l'impact principal du changement climatique sur les précipitations selon les modèles ?,"Augmentation dans certaines régions, diminution dans d'autres",Augmentation globale,Diminution globale,"Augmentation dans certaines régions, diminution dans d'autres",
Quelle méthode est utilisée pour évaluer les impacts économiques du changement climatique ?,Modélisation intégrée,Analyse statistique,Études de cas,Modélisation intégrée,
Quel pourcentage du PIB mondial pourrait être affecté par le changement climatique selon certaines études ?,Moins de 1%,2% à 3%,Plus de 5%,2% à 3%,
Quelle est la part des transports dans les émissions de GES en 2010 ?,14%,21%,31%,14%,
Quel est le potentiel de réchauffement global du N2O sur 100 ans par rapport au CO2 ?,265,84,1,265,
Quelle activité humaine contribue le moins aux émissions de GES ?,Industrie,Bâtiment,Utilisation des terres et foresterie,Utilisation des terres et foresterie,
Quel est le principal gaz à effet de serre émis par l'agriculture ?,CO2,CH4,N2O,CH4,
Quelle est la concentration atmosphérique préindustrielle de CO2 ?,280 ppm,350 ppm,400 ppm,280 ppm,
,Evaluation du risque de crédit,Mesure de performance des actions,Indicateur de la volatilité du marché,Evaluation du risque de crédit,Qu'est-ce qu'un rating dans le contexte financier ?
,Autorité des marchés financiers,Banque Centrale Européenne,Autorité Européenne des Marchés Financiers,Autorité Européenne des Marchés Financiers,Quel organisme réglemente les agences de notation en Europe ?
,Standard & Poor’s,Moody’s,Fitch Ratings,Moody’s,Quelle agence est mentionnée comme exemple dans le document ?
,Evaluer la performance des investissements,Prédire les fluctuations du marché,Evaluer le risque de défaut de paiement,Evaluer le risque de défaut de paiement,Quel est le principal objectif d'une notation de crédit ?
,Risque de liquidité,Risque de marché,Risque de crédit,Risque de marché,Quel est le risque associé à un changement des taux d'intérêt ?
,Best Credit Assessment,Bank Credit Analysis,Baseline Credit Assessment,Baseline Credit Assessment,Que signifie BCA dans le contexte des notations bancaires ?
,Expansion des opérations,Injection de liquidités par les actionnaires,Acquisition d'une autre banque,Injection de liquidités par les actionnaires,Qu'est-ce qu'une augmentation du capital dans le contexte bancaire ?
,La prévision des bénéfices,La qualité de la gouvernance,Les risques environnementaux,La prévision des bénéfices,Quel facteur n'est pas pris en compte dans l'analyse de rating selon le document ?
,Moody’s évalue la qualité du service client,Moody’s évalue les pertes attendues,Moody’s se base uniquement sur les données financières,Moody’s évalue les pertes attendues,Quelle est la principale différence entre les notes de Moody's et celles d'autres agences ?
,Modifier la note en fonction des performances passées,Incorporer des facteurs non financiers,Corriger des erreurs dans l'analyse financière,Incorporer des facteurs non financiers,Quel est le but des ajustements qualitatifs dans le processus de notation ?
,2500 milliards €,2000 milliards €,3000 milliards €,2500 milliards €,Quel était le PIB de la France en euros ?
,1500 milliards €,1624 milliards €,1750 milliards €,1624 milliards €,Quel était le montant du produit net bancaire en milliards d'euros ?
,200 milliards €,219 milliards €,239 milliards €,239 milliards €,Quel était le total des primes d'assurance annuelles en milliards d'euros ?
,Risque de marché,Risque de crédit,Risque opérationnel,Risque de crédit,Quel est le risque le plus important pris en compte par les banques pour le calcul du ratio de solvabilité ?
,Augmentation des actifs financiers détenus à des fins de transaction,Stabilité des opérations de prêt et créances,Chute des actifs financiers détenus à des fins de transaction au profit des opérations de prêt et créances,Chute des actifs financiers détenus à des fins de transaction au profit des opérations de prêt et créances,Comment a évolué la structure de l'actif des banques entre 2008 et 2018 ?
,2500 milliards €,2000 milliards €,3000 milliards €,2500 milliards €,Quel était le PIB de la France en euros ?
,1500 milliards €,1624 milliards €,1750 milliards €,1624 milliards €,Quel était le montant du produit net bancaire en milliards d'euros ?
,200 milliards €,219 milliards €,239 milliards €,239 milliards €,Quel était le total des primes d'assurance annuelles en milliards d'euros ?
,Risque de marché,Risque de crédit,Risque opérationnel,Risque de crédit,Quel est le risque le plus important pris en compte par les banques pour le calcul du ratio de solvabilité ?
,Augmentation des actifs financiers détenus à des fins de transaction,Stabilité des opérations de prêt et créances,Chute des actifs financiers détenus à des fins de transaction au profit des opérations de prêt et créances,Chute des actifs financiers détenus à des fins de transaction au profit des opérations de prêt et créances,Comment a évolué la structure de l'actif des banques entre 2008 et 2018 ?
,Elles investissent l'argent des autres,Elles investissent leur propre argent,Elles se concentrent uniquement sur les dépôts,Elles investissent leur propre argent,Que font principalement les Banques de Financement et d’Investissement (BFI) ?
,Les frais de gestion des comptes clients,L'argent perdu sur l'activité de prêt,L'argent gagné sur l'activité de prêt,L'argent gagné sur l'activité de prêt,Qu'est-ce que la marge nette d'intérêt ?
,"Plus de crédits que de dépôts en 2000, rééquilibrage en 2016",Toujours plus de dépôts que de crédits,Aucun changement significatif,"Plus de crédits que de dépôts en 2000, rééquilibrage en 2016",Comment a évolué le ratio crédits/dépôts de 2000 à 2016 ?
,BCE,ACPR,AMF,ACPR,Quelle est l'autorité de contrôle des banques à l'échelle française ?
,Fonction de transformation,Placement en bourse,Assurance vie,Fonction de transformation,Quelle est la fonction principale de l'activité bancaire ?
,1/3,2/3,1/2,2/3,Quelle part des risques des banques représente le risque de crédit ?
,Pour augmenter les investissements,Pour éviter la faillite par manque de liquidité,Pour financer de nouveaux produits,Pour éviter la faillite par manque de liquidité,Pourquoi y a-t-il eu une hausse des fonds propres des banques depuis 2008 ?
,Risque de marché > Risque de crédit > Risque opérationnel,Risque opérationnel > Risque de marché > Risque de crédit,Risque de crédit > Risque opérationnel > Risque de marché,Risque de crédit > Risque opérationnel > Risque de marché,Quel est l'ordre de priorité des risques pour le calcul du ratio de solvabilité ?
,Augmentation des dépôts,Chute des actifs financiers détenus à des fins de transaction,Stabilité des fonds propres,Chute des actifs financiers détenus à des fins de transaction,Quelle évolution majeure de la structure de l'actif des banques observe-t-on entre 2008 et 2018 ?
,Identification rapide de la crise,Augmentation immédiate des fonds propres,Réduction des activités de prêt,Identification rapide de la crise,Quel est un élément crucial dans la gestion de crise selon le document ?
,Investissement significatif,Garantie de capital,Réduction de la volatilité du risque,Réduction de la volatilité du risque,Quelle est la caractéristique principale de l'Assurance Non-Vie?
,Contrat santé,Contrat décès,Contrat 'Euros',Contrat 'Euros',Quel type de contrat est associé à l'Assurance Vie?
,Investissement à long terme,Mutualisation du risque,Protection des biens matériels,Mutualisation du risque,Quelle est une caractéristique de l'Assurance Prévoyance?
,Protection du capital,Réassurance,Produit d'épargne,Produit d'épargne,Qu'est-ce qui distingue principalement l'Assurance Vie des autres types d'assurance?
,Garantie de capital,Montant de l'épargne assurée,Frais de gestion,Montant de l'épargne assurée,"Dans l'Assurance Vie, que signifie la 'Provision Mathématique'?"
,Risque de marché,Risque de longévité,Risque immobilier,Risque de longévité,Qu'est-ce que l'Assurance Retraite mutualise?
,Garantir les investissements,Estimer les paiements futurs pour des sinistres,Assurer la liquidité,Estimer les paiements futurs pour des sinistres,Quel est le rôle des provisions dans l'Assurance Non-Vie?
,Risque opérationnel,Risque de change,Risque de crédit,Risque opérationnel,Quel est un exemple de risque mesuré en Assurance?
,Analyse de scénarios,Méthodes stochastiques,Formule fermée,Méthodes stochastiques,Quelle méthode est souvent utilisée pour la valorisation des options en assurance?
,Taux de rendement des actifs,Taux sans risque,Taux d'inflation,Taux sans risque,Quel type de taux est généralement utilisé pour actualiser les engagements en Assurance Vie?
,Fournir des services bancaires aux particuliers,Offrir des services sophistiqués aux grandes entreprises,Gérer des portefeuilles d'actifs,Offrir des services sophistiqués aux grandes entreprises,Quelle est la principale fonction d'une Banque de Financement et d'Investissement (BFI)?
,Un contrat d'assurance pour les investissements,Un contrat dérivé échangeant des flux monétaires,Une option d'achat d'actions à un prix fixé,Un contrat dérivé échangeant des flux monétaires,Qu'est-ce qu'un swap dans le contexte des marchés financiers?
,Le Forward est plus risqué que le Future,Le Future est négocié sur des marchés organisés,Le Forward offre une plus grande flexibilité de conditions,Le Future est négocié sur des marchés organisés,Quelle est la principale différence entre un Forward et un Future?
,Estimer la valeur basée sur des modèles financiers,Évaluer la valeur sur la base du marché actuel,Calculer la valeur basée sur des performances historiques,Évaluer la valeur sur la base du marché actuel,Quel est le rôle du mark-to-market dans la valorisation d'instruments financiers?
,Le délai de paiement d'un prêt,Une mesure de la sensibilité des prix aux taux d'intérêt,Le temps nécessaire pour doubler un investissement,Une mesure de la sensibilité des prix aux taux d'intérêt,Qu'est-ce que la duration en finance?
,Mesurer la volatilité du sous-jacent,Indiquer le taux de rendement attendu,Montrer la variation de la valeur de l'option par rapport au sous-jacent,Montrer la variation de la valeur de l'option par rapport au sous-jacent,Quelle est la fonction principale du Delta dans la gestion des risques des options?
,Augmenter le volume de crédit disponible,Alléger le bilan de la banque,Accroître la diversification des investissements,Alléger le bilan de la banque,Quel est le principal objectif de la titrisation pour une banque?
,Un contrat d'échange de taux d'intérêt,Une assurance contre le défaut de paiement d'un émetteur,Un contrat pour échanger des devises,Une assurance contre le défaut de paiement d'un émetteur,Qu'est-ce qu'un Credit Default Swap (CDS)?
,Gérer les liquidités d'une entreprise,Optimiser le portefeuille de fonds des investisseurs,Fournir des prêts aux entreprises,Optimiser le portefeuille de fonds des investisseurs,Quel est l'objectif principal de la gestion d'actifs?
,Un plafond sur le taux d'intérêt d'un prêt,Une limite sur le montant qu'une banque peut prêter,Un plafond sur les frais de transaction,Un plafond sur le taux d'intérêt d'un prêt,Qu'est-ce qu'un cap dans le contexte financier?
,Un taux d'intérêt interbancaire,Un indice boursier,Une monnaie européenne,Un taux d'intérêt interbancaire,Qu'est-ce que l'EURIBOR?
,Un contrat d'échange de devises,Un contrat d'assurance,Un contrat d'échange de taux d'intérêt,Un contrat d'échange de taux d'intérêt,Qu'est-ce qu'un swap de taux d'intérêt?
,Secure Overnight Financing Rate,Standard Offer Rate,Sovereign Over Fund Rate,Secure Overnight Financing Rate,Que signifie SOFR dans le contexte des taux d'intérêt?
,Un type de crédit bancaire,La différence de rendement entre deux obligations,Une stratégie de trading,La différence de rendement entre deux obligations,Qu'est-ce que le 'Credit Spread'?
,Déterminer le coût de transaction,Prédire les mouvements du marché,Calculer la valeur actuelle des flux de trésorerie futurs,Calculer la valeur actuelle des flux de trésorerie futurs,Quel est le rôle de la courbe de taux d'intérêt dans la tarification des instruments financiers?
,Act/360,Act/365,30/360,Act/360,Quelle est la convention de calcul la plus courante pour les taux EURIBOR et €STR?
,Un accord sur les taux d'intérêt futurs,Un contrat d'échange de monnaie,Un plan de financement à long terme,Un accord sur les taux d'intérêt futurs,Qu'est-ce qu'un 'Forward Rate Agreement' (FRA)?
,En changeant sa méthode de calcul,En augmentant ses taux d'intérêt,En réduisant le nombre de banques participantes,En changeant sa méthode de calcul,Comment le Euribor a-t-il survécu après la crise des taux LIBOR?
,La volatilité du marché,Le manque de données de marché,Le biais introduit par la convexité de la fonction exponentielle,Le biais introduit par la convexité de la fonction exponentielle,Quel est le principal défi associé à l'interpolation des courbes de taux d'intérêt?
,Gestion des risques,Création de monnaie,Investissement en bourse,Création de monnaie,Quelle est la principale fonction du système bancaire ?
,Asset Liability Management,Automated Liability Monitoring,Advanced Lending Mechanism,Asset Liability Management,Que signifie l'acronyme 'ALM' en gestion bancaire ?
,Mesurer la liquidité,Contrôler les risques opérationnels,Maintenir un niveau adéquat de fonds propres,Maintenir un niveau adéquat de fonds propres,Quel est le principal objectif du ratio Cooke ?
,Risque de marché,Risque de taux d'intérêt,Risque de non-remboursement,Risque de non-remboursement,Quel est le principal risque associé à l'activité de crédit dans une banque ?
,Une stratégie d'investissement,La transformation de créances en titres négociables,Un outil de gestion des risques opérationnels,La transformation de créances en titres négociables,Qu'est-ce que la 'titrisation' dans le contexte bancaire ?
,Hedging,Scoring interne et externe,Trading algorithmique,Scoring interne et externe,Quelle méthode les banques utilisent-elles pour gérer le risque de crédit ?
,Augmenter les profits,Surveiller les transactions clients,Prévenir les risques systémiques,Prévenir les risques systémiques,Quel est l'objectif principal de la surveillance prudentielle dans le secteur bancaire ?
,Risque lié à l'utilisation de systèmes informatiques,Risque de défaillance d'une institution financière majeure,Risque lié aux systèmes de paiement,Risque de défaillance d'une institution financière majeure,Qu'est-ce que le 'risque systémique' en finance ?
,Réguler le marché des changes,Établir des normes internationales de régulation bancaire,Faciliter le commerce international,Établir des normes internationales de régulation bancaire,Quelle est la fonction de l'accord de Bâle II ?
,Augmenter les prêts à court terme,Maintenir suffisamment de liquidités pour les retraits,Investir dans des actifs à long terme,Maintenir suffisamment de liquidités pour les retraits,Quel est le principal défi des banques dans la gestion du risque de liquidité ?
,Chute du marché boursier,Augmentation des taux d'intérêt,Pénurie de liquidités dans la banque,Pénurie de liquidités dans la banque,Quelle est la principale conséquence d'un 'bank run' ?
,Un produit d'assurance,Un type de crédit renouvelable,Un instrument financier pour transférer le risque de crédit,Un instrument financier pour transférer le risque de crédit,Qu'est-ce qu'une 'dérivée de crédit' dans le secteur bancaire ?
,Risque lié à l'évolution des taux de change,Risque que la contrepartie ne respecte pas ses engagements,Risque lié aux fluctuations des taux d'intérêt,Risque que la contrepartie ne respecte pas ses engagements,Qu'est-ce que le 'risque de contrepartie' dans le secteur bancaire ?
,Evaluer la rentabilité des investissements,Tester la résistance de la banque à des scénarios de crise,Optimiser les processus de décision interne,Tester la résistance de la banque à des scénarios de crise,Quelle est la principale utilité des 'stress tests' en gestion des risques bancaires ?
,Ratio entre actifs et passifs,Mesure de la capacité d'une banque à répondre à ses obligations,Ratio entre le capital propre et l'exposition totale,Ratio entre le capital propre et l'exposition totale,Qu'est-ce que le 'ratio de levier' en finance ?
,Risque lié aux décisions d'investissement,"Risque lié aux processus internes, systèmes ou erreurs humaines",Risque associé aux fluctuations du marché,"Risque lié aux processus internes, systèmes ou erreurs humaines",Quelle est la principale caractéristique du 'risque opérationnel' ?
,Gérer les réserves de devises étrangères,Fournir des lignes directrices pour la gestion des risques bancaires,Réguler les marchés financiers internationaux,Fournir des lignes directrices pour la gestion des risques bancaires,Quel est le rôle du Comité de Bâle sur le contrôle bancaire ?
,Méthode de calcul des intérêts,Évaluation du risque de crédit d'un emprunteur,Système de classification des produits financiers,Évaluation du risque de crédit d'un emprunteur,Qu'est-ce que la 'notation de crédit' en finance ?
,Fournir des prêts aux banques commerciales,Surveiller et réguler les banques de la zone euro,Gérer les taux de change de l'euro,Surveiller et réguler les banques de la zone euro,Quelle est la fonction de la Banque centrale européenne (BCE) dans la gestion des risques bancaires ?
,1988,1992,2001,1988,En quelle année l'accord de Bâle I a-t-il été introduit?
,Augmenter le capital réglementaire des banques,Introduire une surveillance et une discipline de marché,Renforcer la gestion des risques,Renforcer la gestion des risques,Quel était l'objectif principal de Bâle II?
,Ratio de levier,Ratio de liquidité à court terme (LCR),Ratio de financement stable net (NSFR),Ratio de liquidité à court terme (LCR),Bâle III a introduit quel ratio pour assurer la liquidité à court terme?
,4.5%,6%,8%,4.5%,Quel est le ratio minimal de fonds propres de Tier 1 selon Bâle III?
,Le recours excessif au financement par emprunt,La variabilité des actifs pondérés par le risque,L'utilisation des produits dérivés,La variabilité des actifs pondérés par le risque,Bâle IV vise principalement à réduire quelle pratique?
,2022,2019,2023,2023,Quelle est la date d'application complète prévue pour Bâle III?
,3%,4%,5%,3%,Le ratio de levier sous Bâle III est fixé à combien?
,2004,2006,2008,2004,En quelle année Bâle II a-t-il été publié?
,Bâle I,Bâle II,Bâle III,Bâle II,Quel accord de Bâle a introduit le besoin d'un capital supplémentaire pour le risque opérationnel?
,Révision de l'approche standard pour le risque de crédit,Introduction d'un ratio de liquidité à long terme,Augmentation des exigences de fonds propres,Révision de l'approche standard pour le risque de crédit,Quelle est la principale innovation de Bâle IV par rapport aux accords précédents?
,60%,70%,100%,100%,Quel est le pourcentage minimal de couverture de liquidité (LCR) exigé par Bâle III?
,Risque de crédit,Risque de marché,Risque opérationnel,Risque de crédit,Bâle I se concentre principalement sur quel type de risque?
,Bâle I,Bâle II,Bâle III,Bâle II,Quel accord de Bâle a introduit la méthode des notations internes (IRB) pour le risque de crédit?
,Une meilleure gestion du risque de liquidité à long terme,La solvabilité des banques en période de crise,L'alignement des actifs et passifs des banques,Une meilleure gestion du risque de liquidité à long terme,Le NSFR (Net Stable Funding Ratio) sous Bâle III vise à assurer quoi?
,Augmentation des exigences en capital,Réduction de la complexité des modèles,Standardisation accrue des évaluations de risque,Standardisation accrue des évaluations de risque,Quel est l'impact principal de Bâle IV sur les banques utilisant des modèles internes?
,2016,2017,2019,2017,En quelle année l'accord de Bâle IV a-t-il été finalisé?
,2%,4%,6%,4%,Quelle est la part du numérique dans les émissions mondiales de gaz à effet de serre en 2019?
,4 tCO2e/an,2 tCO2e/an,3 tCO2e/an,2 tCO2e/an,Quel est l'objectif de réduction de l'empreinte carbone par Français selon les Accords de Paris?
,51%,35%,60%,51%,Quel pourcentage de la population française a déjà été confronté à des informations fausses sur les actions RSE des entreprises?
,-32%,-52%,-45%,-52%,Quel est le pourcentage de réduction du turnover des employés lorsque ceux-ci participent à des programmes d'engagement solidaire?
,1985,1987,1990,1987,En quelle année le rapport Brundtland sur le développement durable a-t-il été publié?
,24%,34%,40%,24%,Quelle proportion des investisseurs prend en compte les critères RSE dans leurs décisions?
,Augmentation des investissements durables,Réduction des émissions de CO2,Amélioration de la gouvernance d'entreprise,Augmentation des investissements durables,Quel est l'impact attendu de la Taxonomie Verte Européenne sur les entreprises?
,Réduire les émissions de GES des entreprises,Fournir un cadre commun de comparaison pour les entreprises,Encourager l'utilisation de technologies durables,Fournir un cadre commun de comparaison pour les entreprises,Quel est le principal objectif de la directive CSRD (Corporate Sustainability Reporting Directive)?
,20%,30%,40%,30%,Quel est le pourcentage d'économies réalisables sur la facture énergétique des entreprises grâce à un plan de sobriété énergétique?
,6%,8%,10%,8%,Quelle est la part des émissions mondiales de gaz à effet de serre attribuée au numérique en 2025?
,Pilier 1,Pilier 2,Pilier 3,Pilier 1,Quel pilier de Solvabilité II concerne les exigences en matière de fonds propres et de provisions techniques?
,Exigences quantitatives,Gouvernance et gestion des risques,Transparence et reporting,Gouvernance et gestion des risques,Quel est l'objectif principal du Pilier 2 de Solvabilité II?
,Solvabilité Capital Requirement,Systemic Capital Risk,Special Coverage Ratio,Solvabilité Capital Requirement,Le SCR sous Solvabilité II désigne :
,Déterminer les actifs minimaux requis,Évaluer la solvabilité sur une base continue,Rapporter les risques à l'UE,Évaluer la solvabilité sur une base continue,Quel est le rôle de l'ORSA dans le cadre de Solvabilité II?
,Annuellement,Semestriellement,Trimestriellement,Annuellement,"Dans Solvabilité II, quelle est la fréquence recommandée pour la réalisation de l'ORSA?"
,Fonds propres,Gestion des risques,Reporting et divulgation publique,Reporting et divulgation publique,Lequel des éléments suivants est un aspect clé du Pilier 3 de Solvabilité II?
,Maximum Capital Requirement,Minimum Capital Requirement,Managed Capital Risk,Minimum Capital Requirement,Qu'est-ce que le MCR sous Solvabilité II?
,Pilier 1,Pilier 2,Pilier 3,Pilier 2,Quel pilier de Solvabilité II met l'accent sur l'importance d'une fonction de conformité efficace ?
,Méthode standard,Méthode de modélisation interne,Les deux méthodes,Les deux méthodes,"Sous Solvabilité II, quelle méthode peut être utilisée pour calculer le SCR ?"
,2010,2016,2013,2016,La directive Solvabilité II a été mise en œuvre dans l'UE en quelle année ?
,Pilier 1,Pilier 2,Pilier 3,Pilier 2,Quel pilier de Solvabilité II impose des exigences en matière de politique de rémunération ?
,Déclaration de solvabilité et de condition financière (SFCR),Rapport de gestion,Bilan financier annuel,Déclaration de solvabilité et de condition financière (SFCR),Quelle déclaration est spécifiquement requise par le Pilier 3 de Solvabilité II ?
,La taille de l'entreprise,Le profil de risque,Les obligations contractuelles,Les obligations contractuelles,"Dans le cadre du Pilier 1, qu'est-ce qui détermine le montant des provisions techniques ?"
,Évaluer le besoin en capital minimum,Standardiser le reporting financier,Uniformiser la gestion des risques,Évaluer le besoin en capital minimum,Quel est le but de la formule standard dans le Pilier 1 de Solvabilité II ?
,Pilier 1,Pilier 2,Pilier 3,Pilier 2,Quel pilier de Solvabilité II exige que les compagnies d'assurance disposent d'une fonction d'audit interne ?
,"Le MCR est basé sur le risque de marché, le SCR sur le risque opérationnel","Le MCR est un seuil minimal, le SCR est un niveau de capital recommandé","Le MCR est pour les petites entreprises, le SCR pour les grandes","Le MCR est un seuil minimal, le SCR est un niveau de capital recommandé",Quelle est la différence principale entre le MCR et le SCR dans le cadre de Solvabilité II ?
